Cntry,Time,Year,SampleSize,Region,Mean,,Note: ALL New Zealand data from Lynne's file!!
CountryAverage-Reading,2000,2000,,Oceania,533,,
CountryAverage-Reading,2003,2003,,Oceania,,,
CountryAverage-Reading,2006,2006,,Oceania,,,
CountryAverage-Reading,2009,2009,,Oceania,,,
CountryAverage-Reading,2012,2012,,Oceania,,,
CountryAverage-Reading,2015,2015,,Oceania,,,
BoysAverage-Reading,2000,2000,,Oceania,,,
BoysAverage-Reading,2003,2003,,Oceania,,,
BoysAverage-Reading,2006,2006,,Oceania,,,
BoysAverage-Reading,2009,2009,,Oceania,,,
BoysAverage-Reading,2012,2012,,Oceania,,,
BoysAverage-Reading,2015,2015,,Oceania,,,
GirlsAverage-Reading,2000,2000,,Oceania,,,
GirlsAverage-Reading,2003,2003,,Oceania,,,
GirlsAverage-Reading,2006,2006,,Oceania,,,
GirlsAverage-Reading,2009,2009,,Oceania,,,
GirlsAverage-Reading,2012,2012,,Oceania,,,
GirlsAverage-Reading,2015,2015,,Oceania,,,
PakehaEuropeanAverage-Reading,2000,2000,,Oceania,,,
PakehaEuropeanAverage-Reading,2003,2003,,Oceania,,,
PakehaEuropeanAverage-Reading,2006,2006,,Oceania,,,
PakehaEuropeanAverage-Reading,2009,2009,,Oceania,,,
PakehaEuropeanAverage-Reading,2012,2012,,Oceania,,,
PakehaEuropeanAverage-Reading,2015,2015,,Oceania,,,
MaoriAverage-Reading,2000,2000,,Oceania,,,
MaoriAverage-Reading,2003,2003,,Oceania,,,
MaoriAverage-Reading,2006,2006,,Oceania,,,
MaoriAverage-Reading,2009,2009,,Oceania,,,
MaoriAverage-Reading,2012,2012,,Oceania,,,
MaoriAverage-Reading,2015,2015,,Oceania,,,
PasifikaAverage-Reading,2000,2000,,Oceania,,,
PasifikaAverage-Reading,2003,2003,,Oceania,,,
PasifikaAverage-Reading,2006,2006,,Oceania,,,
PasifikaAverage-Reading,2009,2009,,Oceania,,,
PasifikaAverage-Reading,2012,2012,,Oceania,,,
PasifikaAverage-Reading,2015,2015,,Oceania,,,
AsianAverage-Reading,2000,2000,,Oceania,,,
AsianAverage-Reading,2003,2003,,Oceania,,,
AsianAverage-Reading,2006,2006,,Oceania,,,
AsianAverage-Reading,2009,2009,,Oceania,,,
AsianAverage-Reading,2012,2012,,Oceania,,,
AsianAverage-Reading,2015,2015,,Oceania,,,
CountryAverage-Maths,2000,2000,,Oceania,,,
CountryAverage-Maths,2003,2003,,Oceania,,,
CountryAverage-Maths,2006,2006,,Oceania,,,
CountryAverage-Maths,2009,2009,,Oceania,,,
CountryAverage-Maths,2012,2012,,Oceania,,,
CountryAverage-Maths,2015,2015,,Oceania,,,
BoysAverage-Maths,2000,2000,,Oceania,,,
BoysAverage-Maths,2003,2003,,Oceania,,,
BoysAverage-Maths,2006,2006,,Oceania,,,
BoysAverage-Maths,2009,2009,,Oceania,,,
BoysAverage-Maths,2012,2012,,Oceania,,,
BoysAverage-Maths,2015,2015,,Oceania,,,
GirlsAverage-Maths,2000,2000,,Oceania,,,
GirlsAverage-Maths,2003,2003,,Oceania,,,
GirlsAverage-Maths,2006,2006,,Oceania,,,
GirlsAverage-Maths,2009,2009,,Oceania,,,
GirlsAverage-Maths,2012,2012,,Oceania,,,
GirlsAverage-Maths,2015,2015,,Oceania,,,
PakehaEuropeanAverage-Maths,2000,2000,,Oceania,,,
PakehaEuropeanAverage-Maths,2003,2003,,Oceania,,,
PakehaEuropeanAverage-Maths,2006,2006,,Oceania,,,
PakehaEuropeanAverage-Maths,2009,2009,,Oceania,,,
PakehaEuropeanAverage-Maths,2012,2012,,Oceania,,,
PakehaEuropeanAverage-Maths,2015,2015,,Oceania,,,
MaoriAverage-Maths,2000,2000,,Oceania,,,
MaoriAverage-Maths,2003,2003,,Oceania,,,
MaoriAverage-Maths,2006,2006,,Oceania,,,
MaoriAverage-Maths,2009,2009,,Oceania,,,
MaoriAverage-Maths,2012,2012,,Oceania,,,
MaoriAverage-Maths,2015,2015,,Oceania,,,
PasifikaAverage-Maths,2000,2000,,Oceania,,,
PasifikaAverage-Maths,2003,2003,,Oceania,,,
PasifikaAverage-Maths,2006,2006,,Oceania,,,
PasifikaAverage-Maths,2009,2009,,Oceania,,,
PasifikaAverage-Maths,2012,2012,,Oceania,,,
PasifikaAverage-Maths,2015,2015,,Oceania,,,
AsianAverage-Maths,2000,2000,,Oceania,,,
AsianAverage-Maths,2003,2003,,Oceania,,,
AsianAverage-Maths,2006,2006,,Oceania,,,
AsianAverage-Maths,2009,2009,,Oceania,,,
AsianAverage-Maths,2012,2012,,Oceania,,,
AsianAverage-Maths,2015,2015,,Oceania,,,
CountryAverage-Science,2000,2000,,Oceania,,,
CountryAverage-Science,2003,2003,,Oceania,,,
CountryAverage-Science,2006,2006,,Oceania,,,
CountryAverage-Science,2009,2009,,Oceania,,,
CountryAverage-Science,2012,2012,,Oceania,,,
CountryAverage-Science,2015,2015,,Oceania,,,
BoysAverage-Science,2000,2000,,Oceania,,,
BoysAverage-Science,2003,2003,,Oceania,,,
BoysAverage-Science,2006,2006,,Oceania,,,
BoysAverage-Science,2009,2009,,Oceania,,,
BoysAverage-Science,2012,2012,,Oceania,,,
BoysAverage-Science,2015,2015,,Oceania,,,
GirlsAverage-Science,2000,2000,,Oceania,,,
